;ï»¿ID;Gemeentecode;Perioden;TotaleBevolking_1;Gemeentenaam
293;18322;532;2018JJ00;21670.0;Stede Broec
294;18351;851;2018JJ00;24781.0;Steenbergen
295;18438;1708;2018JJ00;43768.0;Steenwijkerland
296;18467;971;2018JJ00;24987.0;Stein
297;18496;1904;2018JJ00;64513.0;Stichtse Vecht
298;18554;617;2018JJ00;8793.0;Strijen
299;18583;1900;2018JJ00;89594.0;SÃºdwest-FryslÃ¢n
300;18728;715;2018JJ00;54440.0;Terneuzen
301;18757;93;2018JJ00;4906.0;Terschelling
302;18815;448;2018JJ00;13584.0;Texel
303;18844;1525;2018JJ00;36584.0;Teylingen
304;18873;716;2018JJ00;25583.0;Tholen
305;18931;281;2018JJ00;41465.0;Tiel
306;18960;855;2018JJ00;215521.0;Tilburg
307;18989;183;2018JJ00;21213.0;Tubbergen
308;19018;1700;2018JJ00;33903.0;Twenterand
309;19047;1730;2018JJ00;33462.0;Tynaarlo
310;19076;737;2018JJ00;31870.0;Tytsjerksteradiel
311;19134;856;2018JJ00;41725.0;Uden
312;19192;450;2018JJ00;13520.0;Uitgeest
313;19221;451;2018JJ00;29445.0;Uithoorn
314;19250;184;2018JJ00;20524.0;Urk
315;19279;344;2018JJ00;347483.0;Utrecht
316;19308;1581;2018JJ00;49314.0;Utrechtse Heuvelrug
317;19337;981;2018JJ00;9874.0;Vaals
318;19424;994;2018JJ00;16431.0;Valkenburg aan de Geul
319;19482;858;2018JJ00;30654.0;Valkenswaard
320;19511;47;2018JJ00;27508.0;Veendam
321;19540;345;2018JJ00;64918.0;Veenendaal
322;19569;717;2018JJ00;21867.0;Veere
323;19627;861;2018JJ00;44925.0;Veldhoven
324;19656;453;2018JJ00;67831.0;Velsen
325;19714;983;2018JJ00;101192.0;Venlo
326;19743;984;2018JJ00;43341.0;Venray
327;19801;620;2018JJ00;19967.0;Vianen
328;19888;622;2018JJ00;72050.0;Vlaardingen
329;20004;96;2018JJ00;1132.0;Vlieland
330;20062;718;2018JJ00;44485.0;Vlissingen
331;20120;986;2018JJ00;12390.0;Voerendaal
332;20236;626;2018JJ00;25453.0;Voorschoten
333;20265;285;2018JJ00;24310.0;Voorst
334;20381;865;2018JJ00;26418.0;Vught
335;20410;1949;2018JJ00;46101.0;Waadhoeke
336;20439;866;2018JJ00;17075.0;Waalre
337;20468;867;2018JJ00;47725.0;Waalwijk
338;20497;627;2018JJ00;27578.0;Waddinxveen
339;20526;289;2018JJ00;38412.0;Wageningen
340;20642;629;2018JJ00;26084.0;Wassenaar
341;20700;852;2018JJ00;17259.0;Waterland
342;20758;988;2018JJ00;49855.0;Weert
343;20787;457;2018JJ00;19147.0;Weesp
344;20845;870;2018JJ00;26979.0;Werkendam
345;20932;668;2018JJ00;18891.0;West Maas en Waal
346;21106;1701;2018JJ00;19152.0;Westerveld
347;21135;293;2018JJ00;15015.0;Westervoort
348;21164;1950;2018JJ00;24684.0;Westerwolde
349;21222;1783;2018JJ00;107492.0;Westland
350;21251;98;2018JJ00;25720.0;Weststellingwerf
351;21280;614;2018JJ00;14508.0;Westvoorne
352;21309;189;2018JJ00;24258.0;Wierden
353;21396;296;2018JJ00;40847.0;Wijchen
354;21425;1696;2018JJ00;23659.0;Wijdemeren
355;21512;352;2018JJ00;23678.0;Wijk bij Duurstede
356;21599;53;2018JJ00;13560.0;Winsum
357;21628;294;2018JJ00;28987.0;Winterswijk
358;21715;873;2018JJ00;21800.0;Woensdrecht
359;21744;632;2018JJ00;51758.0;Woerden
360;21802;1690;2018JJ00;23917.0;De Wolden
361;21831;880;2018JJ00;15995.0;Wormerland
362;21860;351;2018JJ00;13021.0;Woudenberg
363;21889;874;2018JJ00;14634.0;Woudrichem
364;22005;479;2018JJ00;154865.0;Zaanstad
365;22034;297;2018JJ00;28014.0;Zaltbommel
366;22063;473;2018JJ00;16970.0;Zandvoort
367;22092;707;2018JJ00;14004.0;Zederik
368;22150;50;2018JJ00;22407.0;Zeewolde
369;22179;355;2018JJ00;63322.0;Zeist
370;22237;299;2018JJ00;43402.0;Zevenaar
371;22382;637;2018JJ00;124695.0;Zoetermeer
372;22411;638;2018JJ00;8430.0;Zoeterwoude
373;22440;56;2018JJ00;18917.0;Zuidhorn
374;22498;1892;2018JJ00;41882.0;Zuidplas
375;22556;879;2018JJ00;21525.0;Zundert
376;22585;301;2018JJ00;47537.0;Zutphen
377;22614;1896;2018JJ00;22468.0;Zwartewaterland
378;22701;642;2018JJ00;44586.0;Zwijndrecht
379;22730;193;2018JJ00;126116.0;Zwolle
