ID;GemeentecodeGM;Perioden;TotaleBevolking_1
13682;GM1955;2018JJ00;35627
13711;GM0335;2018JJ00;13879
13740;GM0944;2018JJ00;7768
13769;GM0563;2018JJ00;
13798;GM0424;2018JJ00;
13827;GM0565;2018JJ00;
13856;GM0425;2018JJ00;
13885;GM1740;2018JJ00;23615
13914;GM0426;2018JJ00;
13943;GM0643;2018JJ00;
13972;GM0946;2018JJ00;17038
14001;GM0266;2018JJ00;
14030;GM0304;2018JJ00;12397
14059;GM0412;2018JJ00;
14088;GM0356;2018JJ00;62426
14117;GM0567;2018JJ00;
14146;GM0817;2018JJ00;
14175;GM0569;2018JJ00;28269
14204;GM0571;2018JJ00;
14233;GM0170;2018JJ00;
14262;GM0818;2018JJ00;
14291;GM0104;2018JJ00;
14320;GM0121;2018JJ00;
14349;GM0267;2018JJ00;42307
14378;GM0268;2018JJ00;175948
14407;GM1930;2018JJ00;84593
14436;GM1970;2018JJ00;
14465;GM1695;2018JJ00;7314
14494;GM1699;2018JJ00;32370
14523;GM0529;2018JJ00;
14552;GM0171;2018JJ00;46625
14581;GM0575;2018JJ00;26056
14610;GM0576;2018JJ00;16605
14639;GM0577;2018JJ00;
14668;GM0120;2018JJ00;
14697;GM0820;2018JJ00;23019
14726;GM0302;2018JJ00;27114
14755;GM0951;2018JJ00;15201
14784;GM0429;2018JJ00;
14813;GM0122;2018JJ00;
14842;GM0579;2018JJ00;23887
14871;GM0823;2018JJ00;18558
14900;GM0824;2018JJ00;26132
14929;GM1895;2018JJ00;38075
14958;GM0269;2018JJ00;23504
14987;GM0173;2018JJ00;31915
15016;GM0174;2018JJ00;
15045;GM1773;2018JJ00;18023
15074;GM0175;2018JJ00;17630
15103;GM0881;2018JJ00;7857
15132;GM1586;2018JJ00;29672
15161;GM0825;2018JJ00;
15190;GM0692;2018JJ00;
15219;GM0123;2018JJ00;
15248;GM0826;2018JJ00;55147
15277;GM0580;2018JJ00;
15306;GM0085;2018JJ00;25459
15335;GM0431;2018JJ00;9735
15364;GM0176;2018JJ00;
15393;GM0432;2018JJ00;11526
15422;GM0086;2018JJ00;29753
15451;GM0828;2018JJ00;90951
15480;GM0829;2018JJ00;
15509;GM0831;2018JJ00;
15538;GM0584;2018JJ00;24301
15567;GM1509;2018JJ00;39520
15596;GM0830;2018JJ00;
15625;GM0437;2018JJ00;13496
15654;GM0644;2018JJ00;
15683;GM0589;2018JJ00;10180
15712;GM1734;2018JJ00;47481
15741;GM0590;2018JJ00;32264
15770;GM1894;2018JJ00;43312
15799;GM0124;2018JJ00;
15828;GM0765;2018JJ00;12245
15857;GM0594;2018JJ00;
15886;GM1926;2018JJ00;53634
15915;GM0832;2018JJ00;
15944;GM0439;2018JJ00;79983
15973;GM0833;2018JJ00;
16002;GM0273;2018JJ00;24313
16031;GM0177;2018JJ00;37158
16060;GM0834;2018JJ00;
16089;GM0835;2018JJ00;
16118;GM0595;2018JJ00;
16147;GM1661;2018JJ00;
16176;GM0703;2018JJ00;22555
16205;GM0274;2018JJ00;31338
16234;GM0339;2018JJ00;5175
16263;GM0836;2018JJ00;
16292;GM1667;2018JJ00;13040
16321;GM0275;2018JJ00;43527
16350;GM0340;2018JJ00;19816
16379;GM0597;2018JJ00;45789
16408;GM0837;2018JJ00;
16437;GM0602;2018JJ00;
16466;GM0196;2018JJ00;
16495;GM1672;2018JJ00;
16524;GM0841;2018JJ00;
16553;GM0178;2018JJ00;
16582;GM1742;2018JJ00;38097
16611;GM0603;2018JJ00;52208
16640;GM0125;2018JJ00;
16669;GM1669;2018JJ00;20728
16698;GM0957;2018JJ00;57761
16727;GM1670;2018JJ00;
16756;GM0126;2018JJ00;
16785;GM0736;2018JJ00;43620
16814;GM1674;2018JJ00;77000
16843;GM0838;2018JJ00;
16872;GM0839;2018JJ00;
16901;GM0276;2018JJ00;
16930;GM0599;2018JJ00;638712
16959;GM0600;2018JJ00;
16988;GM0277;2018JJ00;1575
17017;GM0840;2018JJ00;22401
17046;GM0127;2018JJ00;
17075;GM0128;2018JJ00;
17104;GM0278;2018JJ00;
17133;GM0704;2018JJ00;
17162;GM0604;2018JJ00;
17191;GM0441;2018JJ00;46379
17220;GM0039;2018JJ00;
17249;GM0458;2018JJ00;
17278;GM0279;2018JJ00;9751
17307;GM0606;2018JJ00;77907
17336;GM0088;2018JJ00;932
17365;GM0844;2018JJ00;
17394;GM0962;2018JJ00;12911
17423;GM0607;2018JJ00;
17452;GM0129;2018JJ00;
17481;GM0608;2018JJ00;
17510;GM0444;2018JJ00;
17539;GM1676;2018JJ00;33687
17568;GM0964;2018JJ00;
17597;GM0965;2018JJ00;10561
17626;GM1702;2018JJ00;11577
17655;GM0845;2018JJ00;28673
17684;GM0846;2018JJ00;
17713;GM0968;2018JJ00;
17742;GM1883;2018JJ00;92956
17771;GM0051;2018JJ00;
17800;GM0130;2018JJ00;
17829;GM0610;2018JJ00;25020
17858;GM0040;2018JJ00;
17887;GM1714;2018JJ00;23526
17916;GM1698;2018JJ00;
17945;GM0090;2018JJ00;55889
17974;GM0131;2018JJ00;
18003;GM0091;2018JJ00;
18032;GM0342;2018JJ00;46089
18061;GM0847;2018JJ00;19120
18090;GM0848;2018JJ00;16753
18119;GM0612;2018JJ00;
18148;GM0849;2018JJ00;
18177;GM1691;2018JJ00;
18206;GM0179;2018JJ00;
18235;GM0037;2018JJ00;32258
18264;GM0850;2018JJ00;
18293;GM0180;2018JJ00;16797
18322;GM0532;2018JJ00;21670
18351;GM0851;2018JJ00;24781
18380;GM0280;2018JJ00;
18409;GM0181;2018JJ00;
18438;GM1708;2018JJ00;43768
18467;GM0971;2018JJ00;24987
18496;GM1904;2018JJ00;64513
18525;GM0973;2018JJ00;
18554;GM0617;2018JJ00;8793
18583;GM1900;2018JJ00;89594
18612;GM0974;2018JJ00;
18641;GM0975;2018JJ00;
18670;GM0976;2018JJ00;
18699;GM0853;2018JJ00;
18728;GM0715;2018JJ00;54440
18757;GM0093;2018JJ00;4906
18786;GM0854;2018JJ00;
18815;GM0448;2018JJ00;13584
18844;GM1525;2018JJ00;36584
18873;GM0716;2018JJ00;25583
18902;GM0977;2018JJ00;
18931;GM0281;2018JJ00;41465
18960;GM0855;2018JJ00;215521
18989;GM0183;2018JJ00;21213
19018;GM1700;2018JJ00;33903
19047;GM1730;2018JJ00;33462
19076;GM0737;2018JJ00;31870
19105;GM0282;2018JJ00;
19134;GM0856;2018JJ00;41725
19163;GM0857;2018JJ00;
19192;GM0450;2018JJ00;13520
19221;GM0451;2018JJ00;29445
19250;GM0184;2018JJ00;20524
19279;GM0344;2018JJ00;347483
19308;GM1581;2018JJ00;49314
19337;GM0981;2018JJ00;9874
19366;GM0283;2018JJ00;
19395;GM0619;2018JJ00;
19424;GM0994;2018JJ00;16431
19453;GM0720;2018JJ00;
19482;GM0858;2018JJ00;30654
19511;GM0047;2018JJ00;27508
19540;GM0345;2018JJ00;64918
19569;GM0717;2018JJ00;21867
19598;GM0860;2018JJ00;
19627;GM0861;2018JJ00;44925
19656;GM0453;2018JJ00;67831
19685;GM0454;2018JJ00;
19714;GM0983;2018JJ00;101192
19743;GM0984;2018JJ00;43341
19772;GM0862;2018JJ00;
19801;GM0620;2018JJ00;19967
19830;GM0863;2018JJ00;
19859;GM1961;2018JJ00;
19888;GM0622;2018JJ00;72050
19917;GM0048;2018JJ00;
19946;GM0132;2018JJ00;
19975;GM0347;2018JJ00;
20004;GM0096;2018JJ00;1132
20033;GM0864;2018JJ00;
20062;GM0718;2018JJ00;44485
20091;GM0623;2018JJ00;
20120;GM0986;2018JJ00;12390
20149;GM0624;2018JJ00;
20178;GM0625;2018JJ00;
20207;GM1992;2018JJ00;
20236;GM0626;2018JJ00;25453
20265;GM0285;2018JJ00;24310
20294;GM0286;2018JJ00;
20323;GM0133;2018JJ00;
20352;GM0186;2018JJ00;
20381;GM0865;2018JJ00;26418
20410;GM1949;2018JJ00;46101
20439;GM0866;2018JJ00;17075
20468;GM0867;2018JJ00;47725
20497;GM0627;2018JJ00;27578
20526;GM0289;2018JJ00;38412
20555;GM0628;2018JJ00;
20584;GM0291;2018JJ00;
20613;GM0869;2018JJ00;
20642;GM0629;2018JJ00;26084
20671;GM0630;2018JJ00;
20700;GM0852;2018JJ00;17259
20729;GM0188;2018JJ00;
20758;GM0988;2018JJ00;49855
20787;GM0457;2018JJ00;19147
20816;GM0292;2018JJ00;
20845;GM0870;2018JJ00;26979
20874;GM0459;2018JJ00;
20903;GM1960;2018JJ00;
20932;GM0668;2018JJ00;18891
20961;GM0134;2018JJ00;
20990;GM0871;2018JJ00;
21019;GM0558;2018JJ00;
21048;GM1969;2018JJ00;
21077;GM0725;2018JJ00;
21106;GM1701;2018JJ00;19152
21135;GM0293;2018JJ00;15015
21164;GM1950;2018JJ00;24684
21193;GM0726;2018JJ00;
21222;GM1783;2018JJ00;107492
21251;GM0098;2018JJ00;25720
21280;GM0614;2018JJ00;14508
21309;GM0189;2018JJ00;24258
21338;GM0462;2018JJ00;
21367;GM0463;2018JJ00;
21396;GM0296;2018JJ00;40847
21425;GM1696;2018JJ00;23659
21454;GM0190;2018JJ00;
21483;GM0135;2018JJ00;
21512;GM0352;2018JJ00;23678
21541;GM0872;2018JJ00;
21570;GM0052;2018JJ00;
21599;GM0053;2018JJ00;13560
21628;GM0294;2018JJ00;28987
21657;GM0295;2018JJ00;
21686;GM0990;2018JJ00;
21715;GM0873;2018JJ00;21800
21744;GM0632;2018JJ00;51758
21773;GM0466;2018JJ00;
21802;GM1690;2018JJ00;23917
21831;GM0880;2018JJ00;15995
21860;GM0351;2018JJ00;13021
21889;GM0874;2018JJ00;14634
21918;GM0875;2018JJ00;
21947;GM0710;2018JJ00;
21976;GM0683;2018JJ00;
22005;GM0479;2018JJ00;154865
22034;GM0297;2018JJ00;28014
22063;GM0473;2018JJ00;16970
22092;GM0707;2018JJ00;14004
22121;GM0478;2018JJ00;
22150;GM0050;2018JJ00;22407
22179;GM0355;2018JJ00;63322
22208;GM0298;2018JJ00;
22237;GM0299;2018JJ00;43402
22266;GM0878;2018JJ00;
22295;GM1666;2018JJ00;
22324;GM0732;2018JJ00;
22353;GM0476;2018JJ00;
22382;GM0637;2018JJ00;124695
22411;GM0638;2018JJ00;8430
22440;GM0056;2018JJ00;18917
22469;GM0136;2018JJ00;
22498;GM1892;2018JJ00;41882
22527;GM0137;2018JJ00;
22556;GM0879;2018JJ00;21525
22585;GM0301;2018JJ00;47537
22614;GM1896;2018JJ00;22468
22643;GM0192;2018JJ00;
22672;GM0138;2018JJ00;
22701;GM0642;2018JJ00;44586
22730;GM0193;2018JJ00;126116
